Trade number,Tip,Tarih ve saat,Sinyal,Fiyat TRY,Boyut (miktar),Boyut (değer),Net PnL TRY,Getiri %,Doğrusal hareket TRY,Doğrusal hareket %,Tersine hareket TRY,Tersine hareket %,Cumulative PnL TRY,Cumulative PnL %,Duration (bars)
49,Entry long,2026-04-07 14:15,BOS+OB,261.25,1,261.25,-15.25,-5.84,0.25,0.10,-15.25,-5.84,-32.25,-0.32,16
50,Exit long,2026-04-13 10:00,SMC_SAT,262.25,1,246,16.25,6.61,16.25,6.61,-0.75,-0.30,-16,-0.16,89
50,Entry long,2026-04-08 13:15,BOS+OB,246,1,246,16.25,6.61,16.25,6.61,-0.75,-0.30,-16,-0.16,89
51,Exit long,2026-04-17 15:45,SMC_SAT,259.25,1,264.25,-5,-1.89,8.25,3.12,-5,-1.89,-21,-0.21,123
51,Entry long,2026-04-14 10:30,BOS+OB,264.25,1,264.25,-5,-1.89,8.25,3.12,-5,-1.89,-21,-0.21,123
52,Exit long,2026-05-06 13:30,SMC_SAT,265.25,1,269.5,-4.25,-1.58,4.75,1.76,-4.25,-1.58,-25.25,-0.25,41
52,Entry long,2026-05-05 11:45,BOS+OB,269.5,1,269.5,-4.25,-1.58,4.75,1.76,-4.25,-1.58,-25.25,-0.25,41
53,Exit long,2026-07-01 15:00,SMC_SAT,237,1,223,14,6.28,14,6.28,-0.25,-0.11,-11.25,-0.11,37
53,Entry long,2026-06-30 14:15,BOS+OB,223,1,223,14,6.28,14,6.28,-0.25,-0.11,-11.25,-0.11,37
54,Exit long,2026-07-07 10:30,SMC_SAT,254.5,1,242.75,11.75,4.84,11.75,4.84,-0.75,-0.31,0.5,0.01,62
54,Entry long,2026-07-03 12:00,BOS+OB,242.8,1,242.75,11.75,4.84,11.75,4.84,-0.75,-0.31,0.5,0.01,62
55,Exit long,2026-07-10 18:00,Açık,267,1,261,6,2.30,9,3.45,-2,-0.77,6.5,0.07,64
55,Entry long,2026-07-09 10:30,BOS+OB,261,1,261,6,2.30,9,3.45,-2,-0.77,6.5,0.07,64
