Trade number,Tip,Tarih ve saat,Sinyal,Fiyat TRY,Boyut (miktar),Boyut (değer),Net PnL TRY,Getiri %,Doğrusal hareket TRY,Doğrusal hareket %,Tersine hareket TRY,Tersine hareket %,Cumulative PnL TRY,Cumulative PnL %,Duration (bars)
49,Entry long,2026-05-05 12:30,BOS+OB,61.3,5,306.5,17,5.55,17,5.55,0,0.00,143.75,1.44,29
50,Exit long,2026-05-12 12:15,SMC_SAT,65.05,5,331.75,-6.5,-1.96,8.25,2.49,-6.5,-1.96,137.25,1.37,52
50,Entry long,2026-05-08 16:15,BOS+OB,66.35,5,331.75,-6.5,-1.96,8.25,2.49,-6.5,-1.96,137.25,1.37,52
51,Exit long,2026-05-21 10:15,SMC_SAT,60.85,5,312,-7.75,-2.48,1.5,0.48,-7.75,-2.48,129.5,1.30,15
51,Entry long,2026-05-20 15:00,BOS+OB,62.4,5,312,-7.75,-2.48,1.5,0.48,-7.75,-2.48,129.5,1.30,15
52,Exit long,2026-06-05 16:45,SMC_SAT,61.9,5,318.25,-8.75,-2.75,4,1.26,-8.75,-2.75,120.75,1.21,29
52,Entry long,2026-06-04 18:00,BOS+OB,63.65,5,318.25,-8.75,-2.75,4,1.26,-8.75,-2.75,120.75,1.21,29
53,Exit long,2026-06-10 11:30,SMC_SAT,62.25,5,318.5,-7.25,-2.28,2.5,0.78,-7.25,-2.28,113.5,1.14,13
53,Entry long,2026-06-09 16:45,BOS+OB,63.7,5,318.5,-7.25,-2.28,2.5,0.78,-7.25,-2.28,113.5,1.14,13
54,Exit long,2026-06-23 11:00,SMC_SAT,62.1,5,318.75,-8.25,-2.59,2,0.63,-8.25,-2.59,105.25,1.05,31
54,Entry long,2026-06-22 11:45,BOS+OB,63.75,5,318.75,-8.25,-2.59,2,0.63,-8.25,-2.59,105.25,1.05,31
55,Exit long,2026-06-30 16:45,SMC_SAT,60.65,5,314.25,-11,-3.50,1.75,0.56,-11,-3.50,94.25,0.94,52
55,Entry long,2026-06-29 12:15,BOS+OB,62.85,5,314.25,-11,-3.50,1.75,0.56,-11,-3.50,94.25,0.94,52
